HPDcache UVM 1.1d Testplan  —  cv32a6_imac_sv32 + Domino Prefetcher  |  QuestaSim 23.3 Starter Edition,,,,,,,,
Category,No,Test Item,Test Name,Description,Test Flow (sequence used),Pass Condition,Priority,UVM 1.1d Status
"HIGH PERFORMANCE
DATA CACHE",,,,,,,,
HIGH PERFORMANCE DATA CACHE,3.1,MSHR Allocation,"hpdcache_rand_test
(smoke: hpdcache_base_test)",Verify MSHR alloc on LOAD miss. Cold-miss → AXI ARVALID → refill → core RSP.,"hpdcache_rand_seq  num_trans=20
set_random() LOADs hit unique tags → each causes miss
Scoreboard: RSP count == REQ count, FAIL==0","REQ==RSP, FAIL==0.
MEM log: FIFO ENQ→DEQ→READ RSP DONE per miss.
[DUT] CORE RSP err=0 for each TID.",High,"COMPATIBLE
run_phase only
$urandom addr_tag"
,3.2,"Write Buffer (WBUF)
Forwarding","hpdcache_store_load_test
hpdcache_wbuf_test",Read-after-Write hazard. STORE to addr B then immediate LOAD to same addr B.,"hpdcache_store_load_seq  num_pairs=8
hpdcache_wbuf_forwarding_seq  num_pairs=4
Sequential: store_item then load_item same (tag,offset)","Scoreboard PASS > 0.
LOAD RDATA matches STORE wdata per BE mask.
No WATCHDOG timeout.",Critical,"COMPATIBLE
set_store()/set_load()
negedge drive protocol"
,3.3,"Unaligned / Cross-
Cacheline Access",hpdcache_cross_cacheline_test,STORE/LOAD at offset 0x7F8 (near 64-byte cacheline boundary).,"hpdcache_cross_cacheline_seq  num_accesses=4
Fixed offset=14'h07F8, iterating tags
BE aligned to addr_offset[3]","Scoreboard PASS > 0 for all accesses.
DUT handles boundary without ctrl error.",Medium,"COMPATIBLE
Fixed boundary addr
Manual BE alignment"
"PREFETCHER
DATA CACHE",,,,,,,,
PREFETCHER DATA CACHE,4.1,"Domino 1st Order
MHT1 Training",hpdcache_domino_mht1_test,"Train MHT1 with A→B→C repeated, then replay A. Expect prefetch of B.","hpdcache_domino_mht1_seq  num_train_rounds=4
Fixed tags: A=0x10000 B=0x10001 C=0x10002
Replay A after training rounds","No UVM_ERROR/FATAL.
MEM log shows extra FIFO ENQ after replay A
(prefetch-triggered miss for B).
DUT does not hang or WATCHDOG.",Critical,"COMPATIBLE
Fixed tag pattern
Observe via $display log"
,4.2,"Domino 2nd Order
MHT2 XOR Hash",hpdcache_domino_mht2_test,"Train A→B→X and C→B→Y, then replay A→B. MHT2 XOR(A,B) predicts X not Y.","hpdcache_domino_mht2_seq  num_train_rounds=4
Pattern 1: A→B→X; Pattern 2: C→B→Y
Replay A then B","No UVM_ERROR/FATAL.
MEM log: after replay A→B an extra ENQ appears
(prefetch for X, not Y).
DUT does not hang.",High,"COMPATIBLE
Fixed tag patterns
Observe via $display log"
,4.3,"Hash Collision /
MHT Eviction",hpdcache_hash_collision_test,Two 56-bit addresses map to same 10-bit MHT index. Verify safe eviction.,"hpdcache_hash_collision_seq  num_rounds=8
TAG1=18'h0001 TAG2=18'h0101 (same XOR hash idx)
Alternate accesses both tags","No UVM_ERROR/FATAL.
No WATCHDOG timeout.
Simulation completes cleanly (no hang/crash).",Medium,"COMPATIBLE
Fixed collision tags
run_phase only"
,4.4,"MSHR Backpressure
/ Prefetch Drop",hpdcache_mshr_stress_test,"Fill MSHR with 16 simultaneous misses. Prefetcher must drop, not stall core.","hpdcache_mshr_stress_seq  num_miss=16
16 LOADs to unique tags (each misses)
FIFO depth=16 absorbs all AXI requests","REQ==RSP==16, FAIL==0.
MEM log: 16× FIFO ENQ, 16× READ RSP DONE.
No WATCHDOG timeout.",Critical,"COMPATIBLE
FIFO depth=16 covers
all 16 MSHR slots"
"STRESS /
RANDOM TEST",,,,,,,,
